Ride_Id,Start_Location_ID,Stop_Location_ID,MILES,START_DATE,END_DATE,PURPOSE,Category_ID
1,1,1,5.1,2016-01-01 21:11:00,2016-01-01 21:17:00,Meal/Entertain,1
2,1,1,5,2016-01-02 1:25:00,2016-01-02 1:37:00,Meeting,1
3,1,1,4.8,2016-01-02 20:25:00,2016-01-02 20:38:00,Errand/Supplies,1
4,1,1,4.7,2016-01-05 17:31:00,2016-01-05 17:45:00,Meeting,1
5,1,2,63.7,2016-01-06 14:42:00,2016-01-06 15:49:00,Customer Visit,1
6,2,2,4.3,2016-01-06 17:15:00,2016-01-06 17:19:00,Meal/Entertain,1
7,2,110,7.1,2016-01-06 17:30:00,2016-01-06 17:35:00,Meeting,1
8,3,3,0.8,2016-01-07 13:27:00,2016-01-07 13:33:00,Meeting,1
9,3,17,8.3,2016-01-10 8:05:00,2016-01-10 8:25:00,Meeting,1
10,4,5,16.5,2016-01-10 12:17:00,2016-01-10 12:44:00,Customer Visit,1
11,5,111,10.8,2016-01-10 15:08:00,2016-01-10 15:51:00,Meeting,1
12,6,5,7.5,2016-01-10 18:18:00,2016-01-10 18:53:00,Meeting,1
13,7,8,6.2,2016-01-10 19:12:00,2016-01-10 19:32:00,Meeting,1
14,8,112,6.4,2016-01-11 8:55:00,2016-01-11 9:21:00,Temporary Site,1
15,9,7,1.6,2016-01-11 11:56:00,2016-01-11 12:03:00,Errand/Supplies,1
16,7,10,1.7,2016-01-11 13:32:00,2016-01-11 13:46:00,Meal/Entertain,1
17,10,7,1.9,2016-01-11 14:30:00,2016-01-11 14:43:00,Meal/Entertain,1
18,7,11,1.9,2016-01-12 12:33:00,2016-01-12 12:49:00,Meal/Entertain,1
19,11,12,4,2016-01-12 12:53:00,2016-01-12 13:09:00,Meal/Entertain,1
20,12,11,1.8,2016-01-12 14:42:00,2016-01-12 14:56:00,Errand/Supplies,1
21,11,13,2.4,2016-01-12 15:13:00,2016-01-12 15:28:00,Customer Visit,1
22,13,7,2,2016-01-12 15:42:00,2016-01-12 15:54:00,Errand/Supplies,1
23,5,113,15.1,2016-01-12 16:02:00,2016-01-12 17:00:00,Meeting,1
24,3,14,19.4,2016-02-01 10:35:00,2016-02-01 11:15:00,Customer Visit,1
25,14,3,23.3,2016-02-01 12:10:00,2016-02-01 12:43:00,Customer Visit,1
26,15,16,3.9,2016-02-01 12:56:00,2016-02-01 13:07:00,Meal/Entertain,1
27,16,114,8.3,2016-02-02 13:04:00,2016-02-02 13:23:00,Meeting,1
28,3,3,6,2016-02-02 13:51:00,2016-02-02 14:06:00,Errand/Supplies,1
29,3,3,1.6,2016-02-02 14:38:00,2016-02-02 14:42:00,Errand/Supplies,1
30,3,17,5.2,2016-02-04 8:40:00,2016-02-04 9:01:00,Errand/Supplies,1
31,17,3,9.7,2016-02-04 9:37:00,2016-02-04 10:09:00,Meal/Entertain,1
32,3,3,1.6,2016-02-04 10:26:00,2016-02-04 10:32:00,Meal/Entertain,1
33,3,3,1.1,2016-02-04 15:59:00,2016-02-04 16:03:00,Meal/Entertain,1
34,3,3,1.6,2016-02-04 16:35:00,2016-02-04 16:39:00,Meal/Entertain,1
35,16,115,9,2016-02-04 18:04:00,2016-02-04 18:31:00,Meeting,1
36,3,3,7.7,2016-02-04 20:36:00,2016-02-04 20:55:00,Meeting,1
37,3,18,10.4,2016-02-05 11:47:00,2016-02-05 12:07:00,Meeting,1
38,18,3,10.4,2016-02-05 13:22:00,2016-02-05 13:41:00,Meeting,1
39,3,19,11.4,2016-02-06 16:20:00,2016-02-06 16:53:00,Between Offices,1
40,19,3,9,2016-02-06 18:57:00,2016-02-06 19:21:00,Errand/Supplies,1
41,20,16,3.2,2016-02-06 19:28:00,2016-02-06 19:37:00,Meal/Entertain,1
42,3,21,5.6,2016-02-07 16:49:00,2016-02-07 17:01:00,Errand/Supplies,1
43,21,3,5.7,2016-02-07 18:03:00,2016-02-07 18:17:00,Customer Visit,1
44,3,17,6.1,2016-02-07 18:39:00,2016-02-07 18:53:00,Temporary Site,1
45,17,3,6.1,2016-02-07 20:22:00,2016-02-07 20:40:00,Meeting,1
46,16,20,4.3,2016-02-08 12:57:00,2016-02-08 13:08:00,Meal/Entertain,1
47,20,16,2.7,2016-02-08 14:00:00,2016-02-08 14:10:00,Meal/Entertain,1
48,16,15,5.3,2016-02-09 10:54:00,2016-02-09 11:07:00,Meeting,2
49,15,22,3,2016-02-09 11:43:00,2016-02-09 11:50:00,Meeting,2
50,22,23,5.1,2016-02-09 13:36:00,2016-02-09 13:52:00,Meeting,2
51,23,16,1.5,2016-02-09 13:58:00,2016-02-09 14:02:00,Errand/Supplies,2
52,3,17,6.1,2016-02-09 18:55:00,2016-02-09 19:11:00,Meeting,1
53,17,3,6.1,2016-02-09 20:24:00,2016-02-09 20:40:00,Meal/Entertain,1
54,3,19,17.3,2016-02-11 16:28:00,2016-02-11 17:10:00,Meal/Entertain,1
55,24,116,5.7,2016-02-11 17:49:00,2016-02-11 18:10:00,Meal/Entertain,1
56,19,17,13.5,2016-02-11 18:24:00,2016-02-11 18:46:00,Temporary Site,1
57,17,3,6.1,2016-02-11 20:36:00,2016-02-11 20:51:00,Temporary Site,1
58,3,18,8.5,2016-02-12 8:21:00,2016-02-12 8:42:00,Temporary Site,1
59,18,17,2.6,2016-02-12 10:45:00,2016-02-12 10:52:00,Temporary Site,1
60,17,19,17,2016-02-12 11:14:00,2016-02-12 11:35:00,Customer Visit,1
61,19,3,18,2016-02-12 13:02:00,2016-02-12 13:36:00,Meeting,1
62,3,17,8.4,2016-02-12 14:49:00,2016-02-12 15:06:00,Meeting,1
63,17,3,11.5,2016-02-12 15:33:00,2016-02-12 16:06:00,Customer Visit,1
64,16,25,8,2016-03-01 18:47:00,2016-03-01 19:10:00,Meal/Entertain,1
65,25,16,8,2016-03-01 21:27:00,2016-03-01 21:45:00,Meeting,1
66,16,26,2.2,2016-03-03 9:45:00,2016-03-03 9:52:00,Errand/Supplies,2
67,26,16,2.3,2016-03-03 11:04:00,2016-03-03 11:10:00,Errand/Supplies,1
68,16,15,5.2,2016-03-03 14:44:00,2016-03-03 14:58:00,Meal/Entertain,1
69,3,19,7.6,2016-03-03 15:27:00,2016-03-03 15:48:00,Customer Visit,1
70,19,3,17.3,2016-03-03 16:02:00,2016-03-03 16:42:00,Meeting,1
71,3,18,9.9,2016-03-04 7:47:00,2016-03-04 8:06:00,Meeting,1
72,18,3,9.9,2016-03-04 9:46:00,2016-03-04 10:03:00,Customer Visit,1
73,3,18,10.4,2016-03-04 11:46:00,2016-03-04 12:06:00,Meeting,1
74,18,3,10.9,2016-03-04 13:03:00,2016-03-04 13:25:00,Meeting,1
75,3,19,15.7,2016-03-04 13:40:00,2016-03-04 14:09:00,Customer Visit,1
76,19,19,4.9,2016-03-04 15:56:00,2016-03-04 16:08:00,Meal/Entertain,1
77,27,117,0.8,2016-03-04 16:16:00,2016-03-04 16:22:00,Errand/Supplies,1
78,19,3,13.5,2016-03-04 16:43:00,2016-03-04 17:12:00,Meeting,1
79,3,17,1.9,2016-03-04 19:02:00,2016-03-04 19:08:00,Temporary Site,1
80,17,3,2,2016-03-04 19:16:00,2016-03-04 19:25:00,Meal/Entertain,1
81,3,17,6.5,2016-03-05 11:44:00,2016-03-05 11:59:00,Meal/Entertain,1
82,28,28,4.2,2016-03-05 12:57:00,2016-03-05 13:12:00,Meeting,2
83,17,3,3.5,2016-03-05 14:08:00,2016-03-05 14:18:00,Meeting,2
84,16,25,7.8,2016-03-05 14:39:00,2016-03-05 15:01:00,Meal/Entertain,1
85,3,17,7.8,2016-03-05 16:52:00,2016-03-05 17:13:00,Meal/Entertain,1
86,17,3,3.9,2016-03-05 17:23:00,2016-03-05 17:34:00,Meal/Entertain,1
87,16,20,2.8,2016-03-07 9:10:00,2016-03-07 9:20:00,Errand/Supplies,1
88,3,19,12.4,2016-03-07 9:23:00,2016-03-07 9:47:00,Customer Visit,1
89,27,29,5.9,2016-03-07 12:10:00,2016-03-07 12:26:00,Customer Visit,1
90,29,118,9.4,2016-03-07 13:57:00,2016-03-07 14:18:00,Meeting,1
91,19,3,11.9,2016-03-07 15:19:00,2016-03-07 15:45:00,Between Offices,1
92,16,30,7.2,2016-03-08 14:38:00,2016-03-08 14:55:00,Between Offices,1
93,30,16,7.6,2016-03-08 15:35:00,2016-03-08 16:00:00,Meal/Entertain,1
94,16,16,1.6,2016-03-08 16:13:00,2016-03-08 16:25:00,Errand/Supplies,2
95,3,17,8.4,2016-03-10 3:36:00,2016-03-10 3:53:00,Meeting,1
96,31,32,12.8,2016-03-10 10:08:00,2016-03-10 10:37:00,Meeting,1
97,32,33,2.3,2016-03-10 14:39:00,2016-03-10 14:55:00,Errand/Supplies,1
98,33,119,1.6,2016-03-10 16:18:00,2016-03-10 16:28:00,Errand/Supplies,1
99,34,35,2,2016-03-11 9:47:00,2016-03-11 9:59:00,Meal/Entertain,1
100,35,36,0.8,2016-03-11 10:29:00,2016-03-11 10:36:00,Errand/Supplies,1
101,36,37,1.2,2016-03-11 11:57:00,2016-03-11 12:04:00,Errand/Supplies,1
102,37,36,1,2016-03-11 13:43:00,2016-03-11 13:51:00,Errand/Supplies,1
103,33,34,2.1,2016-03-11 19:21:00,2016-03-11 19:35:00,Errand/Supplies,1
104,34,33,2.2,2016-03-12 9:13:00,2016-03-12 9:22:00,Errand/Supplies,1
105,33,34,1.9,2016-03-12 18:27:00,2016-03-12 18:37:00,Errand/Supplies,2
106,38,38,11,2016-04-01 13:43:00,2016-04-01 14:01:00,Meeting,1
107,38,39,15.5,2016-04-01 14:36:00,2016-04-01 15:24:00,Customer Visit,1
108,39,38,20.3,2016-04-01 16:01:00,2016-04-01 16:49:00,Meeting,1
109,38,38,0.7,2016-04-01 16:52:00,2016-04-01 16:57:00,Errand/Supplies,2
110,38,38,5.5,2016-04-02 8:48:00,2016-04-02 9:04:00,Meeting,2
111,38,38,5.1,2016-04-02 11:01:00,2016-04-02 11:16:00,Meeting,2
112,38,40,77.3,2016-04-02 12:21:00,2016-04-02 14:47:00,Customer Visit,1
113,40,41,80.5,2016-04-02 16:57:00,2016-04-02 18:09:00,Customer Visit,1
114,41,42,174.2,2016-04-02 19:38:00,2016-04-02 22:36:00,Customer Visit,1
115,42,43,144,2016-04-02 23:11:00,2016-04-03 1:34:00,Meeting,1
116,43,3,159.3,2016-04-03 2:00:00,2016-04-03 4:16:00,Meeting,1
117,16,25,7.9,2016-04-05 21:39:00,2016-04-05 21:55:00,Meal/Entertain,1
118,25,16,8,2016-04-06 0:19:00,2016-04-06 0:39:00,Meal/Entertain,1
119,3,17,6.1,2016-04-07 18:20:00,2016-04-07 18:39:00,Meal/Entertain,1
120,17,3,6.1,2016-04-07 19:45:00,2016-04-07 20:00:00,Errand/Supplies,1
121,3,18,10.5,2016-04-08 12:30:00,2016-04-08 12:48:00,Meeting,1
122,18,3,8.7,2016-04-08 13:34:00,2016-04-08 13:51:00,Meal/Entertain,1
123,26,16,1.8,2016-04-08 13:55:00,2016-04-08 14:03:00,Errand/Supplies,1
124,3,19,19.1,2016-04-08 14:43:00,2016-04-08 15:20:00,Meeting,1
125,19,3,18.6,2016-04-08 16:05:00,2016-04-08 16:47:00,Meeting,1
126,16,20,2.8,2016-04-12 9:15:00,2016-04-12 9:26:00,Errand/Supplies,1
127,3,19,8.9,2016-04-12 9:34:00,2016-04-12 9:53:00,Meeting,1
128,44,120,7.5,2016-04-12 10:58:00,2016-04-12 11:18:00,Customer Visit,1
129,19,17,15.9,2016-04-12 12:22:00,2016-04-12 12:44:00,Meeting,1
130,17,3,6.5,2016-04-12 13:42:00,2016-04-12 14:01:00,Meal/Entertain,1
131,16,26,2.1,2016-05-01 13:45:00,2016-05-01 13:53:00,Meal/Entertain,1
132,26,16,2.3,2016-05-01 14:26:00,2016-05-01 14:31:00,Errand/Supplies,1
133,16,22,6.2,2016-05-01 17:33:00,2016-05-01 17:45:00,Between Offices,1
134,22,45,7.5,2016-05-01 17:54:00,2016-05-01 18:10:00,Meeting,1
135,45,16,3.1,2016-05-01 22:38:00,2016-05-01 22:49:00,Errand/Supplies,1
136,16,26,2.2,2016-05-02 14:14:00,2016-05-02 14:21:00,Errand/Supplies,1
137,26,16,3.9,2016-05-02 15:37:00,2016-05-02 15:48:00,Meal/Entertain,1
138,17,3,2.5,2016-05-03 22:20:00,2016-05-03 22:28:00,Meal/Entertain,1
139,3,17,8.7,2016-05-04 15:16:00,2016-05-04 15:37:00,Meal/Entertain,1
140,46,47,14.5,2016-05-04 20:55:00,2016-05-04 21:14:00,Errand/Supplies,1
141,47,48,4.5,2016-05-04 21:30:00,2016-05-04 21:36:00,Meal/Entertain,1
142,48,47,5,2016-05-04 22:19:00,2016-05-04 22:27:00,Meal/Entertain,1
143,49,50,14.2,2016-05-05 21:24:00,2016-05-05 21:36:00,Meal/Entertain,1
144,50,51,2.9,2016-05-05 22:34:00,2016-05-05 22:40:00,Errand/Supplies,1
145,51,49,12.9,2016-05-05 23:55:00,2016-05-06 0:08:00,Meeting,1
146,47,46,14.4,2016-05-06 5:47:00,2016-05-06 6:02:00,Meeting,1
147,14,17,17,2016-05-06 16:45:00,2016-05-06 16:59:00,Meeting,1
148,17,3,7.9,2016-05-06 17:18:00,2016-05-06 17:44:00,Customer Visit,1
149,3,17,8.4,2016-05-09 6:08:00,2016-05-09 6:25:00,Customer Visit,1
150,52,53,20.5,2016-05-09 14:39:00,2016-05-09 15:06:00,Between Offices,1
151,53,54,9.8,2016-05-09 17:58:00,2016-05-09 18:26:00,Customer Visit,1
152,54,55,17.6,2016-05-09 19:35:00,2016-05-09 19:59:00,Customer Visit,1
153,55,56,9.3,2016-05-10 9:03:00,2016-05-10 9:20:00,Customer Visit,1
154,56,55,7.9,2016-05-10 17:19:00,2016-05-10 17:31:00,Customer Visit,1
155,55,52,25.6,2016-05-11 8:35:00,2016-05-11 9:12:00,Meeting,1
156,17,3,8.1,2016-05-11 21:47:00,2016-05-11 22:04:00,Meeting,1
157,3,17,6.7,2016-06-01 10:19:00,2016-06-01 10:47:00,Customer Visit,1
158,17,3,9.6,2016-06-01 13:10:00,2016-06-01 13:39:00,Meeting,1
159,3,18,10.4,2016-06-03 11:29:00,2016-06-03 11:49:00,Meeting,1
160,18,3,9.9,2016-06-03 13:08:00,2016-06-03 13:38:00,Meeting,1
161,3,17,6,2016-06-03 15:31:00,2016-06-03 15:54:00,Meal/Entertain,1
162,57,121,3.3,2016-06-03 18:14:00,2016-06-03 18:29:00,Errand/Supplies,1
163,17,3,3.1,2016-06-03 18:41:00,2016-06-03 18:53:00,Errand/Supplies,1
164,58,28,1.7,2016-06-03 19:36:00,2016-06-03 19:42:00,Errand/Supplies,1
165,17,3,4,2016-06-03 22:47:00,2016-06-03 23:06:00,Between Offices,1
166,16,122,7.8,2016-06-05 14:03:00,2016-06-05 14:33:00,Customer Visit,1
167,3,17,7.8,2016-06-05 15:06:00,2016-06-05 15:22:00,Customer Visit,1
168,28,28,3.8,2016-06-05 15:57:00,2016-06-05 16:08:00,Meal/Entertain,1
169,17,3,2.5,2016-06-05 18:05:00,2016-06-05 18:14:00,Meal/Entertain,1
170,3,18,9.9,2016-06-05 21:53:00,2016-06-05 22:05:00,Meeting,1
171,18,3,9.9,2016-06-05 23:52:00,2016-06-06 0:08:00,Meeting,1
172,16,59,3,2016-06-06 15:36:00,2016-06-06 15:45:00,Errand/Supplies,1
173,59,16,2.4,2016-06-06 16:16:00,2016-06-06 16:24:00,Errand/Supplies,1
174,3,21,5.7,2016-06-06 20:06:00,2016-06-06 20:20:00,Meal/Entertain,1
175,21,3,7.2,2016-06-06 21:08:00,2016-06-06 21:37:00,Meal/Entertain,1
176,3,18,10.4,2016-06-06 21:41:00,2016-06-06 22:00:00,Meeting,1
177,18,3,9.9,2016-06-06 23:34:00,2016-06-06 23:48:00,Meeting,1
178,3,18,10.4,2016-06-07 21:42:00,2016-06-07 22:00:00,Meeting,1
179,18,3,9.9,2016-06-07 23:41:00,2016-06-08 0:04:00,Meeting,1
180,3,17,8.7,2016-06-08 8:23:00,2016-06-08 8:53:00,Meal/Entertain,1
181,4,5,22.3,2016-06-08 12:04:00,2016-06-08 13:01:00,Errand/Supplies,1
182,60,123,3.3,2016-06-08 13:12:00,2016-06-08 13:29:00,Meal/Entertain,1
183,61,124,0.7,2016-06-08 14:31:00,2016-06-08 14:37:00,Errand/Supplies,1
184,62,63,2.5,2016-06-08 16:55:00,2016-06-08 17:11:00,Meal/Entertain,1
185,63,64,0.5,2016-06-08 17:16:00,2016-06-08 17:18:00,Errand/Supplies,1
186,64,65,0.9,2016-06-08 17:59:00,2016-06-08 18:05:00,Errand/Supplies,1
187,65,125,4.8,2016-06-08 20:11:00,2016-06-08 20:25:00,Errand/Supplies,1
188,5,4,16.3,2016-06-10 15:19:00,2016-06-10 16:28:00,Meeting,1
189,3,18,10.4,2016-06-10 21:47:00,2016-06-10 22:04:00,Meeting,1
190,18,3,9.9,2016-06-10 23:53:00,2016-06-11 0:01:00,Meeting,1
191,3,17,3.7,2016-06-11 17:08:00,2016-06-11 17:16:00,Errand/Supplies,1
192,17,3,4.6,2016-06-11 17:34:00,2016-06-11 17:39:00,Meal/Entertain,1
193,26,16,1.7,2016-06-11 17:50:00,2016-06-11 17:56:00,Errand/Supplies,1
194,3,18,10.4,2016-06-11 21:45:00,2016-06-11 22:04:00,Meeting,1
195,18,3,9.9,2016-06-11 23:39:00,2016-06-12 0:05:00,Meeting,1
196,3,17,2.5,2016-06-12 19:53:00,2016-06-12 19:56:00,Meal/Entertain,1
197,17,3,4.3,2016-06-12 20:05:00,2016-06-12 20:16:00,Errand/Supplies,1
198,45,16,2.8,2016-06-12 21:58:00,2016-06-12 22:19:00,Errand/Supplies,1
199,18,3,9.9,2016-07-01 0:00:00,2016-07-01 0:25:00,Meeting,1
200,3,19,13.3,2016-07-01 9:34:00,2016-07-01 9:57:00,Meeting,1
201,19,3,11.3,2016-07-01 12:36:00,2016-07-01 13:00:00,Meeting,1
202,3,18,10.5,2016-07-01 20:06:00,2016-07-01 20:24:00,Meeting,1
203,18,3,9.9,2016-07-01 23:48:00,2016-07-02 0:09:00,Meeting,1
204,3,18,10.1,2016-07-02 20:18:00,2016-07-02 20:36:00,Meeting,1
205,18,3,9.9,2016-07-02 23:48:00,2016-07-03 0:12:00,Meeting,1
206,3,17,3.1,2016-07-03 0:28:00,2016-07-03 0:38:00,Errand/Supplies,1
207,17,3,3.1,2016-07-03 3:02:00,2016-07-03 3:08:00,Errand/Supplies,1
208,3,18,9.9,2016-07-03 20:00:00,2016-07-03 20:18:00,Meeting,1
209,18,3,9.9,2016-07-04 0:32:00,2016-07-04 0:47:00,Meeting,1
210,16,66,8.8,2016-07-04 17:31:00,2016-07-04 17:49:00,Meeting,1
211,66,16,8.7,2016-07-04 18:23:00,2016-07-04 18:49:00,Temporary Site,1
